Name,Labels,Milestone,Estimacion,Origen,Descripcion
T-01 Tablero de proyecto + milestones + tarjetas,setup,Beta,2h,Act.2 #1-3,"Que: Crear el tablero (GitHub Projects recomendado; Trello como alternativa via este CSV), etiquetas de categoria, los milestones Beta y GA, e importar una tarjeta por tarea con estimacion y descripcion (que/por que/origen). Por que: Planeacion trazable exigida por la rubrica; da visibilidad del backlog completo."
T-02 Ramas + documento de flujo,setup,Beta,1h,Act.2 #4,"Que: Confirmar master como rama por defecto, crear develop y escribir CONTRIBUTING.md con el flujo feature-branch -> PR -> merge a develop. Por que: Fija el flujo de trabajo git del proyecto y evita commits directos a ramas protegidas."
T-03 Andamiaje Maven,backend,Beta,2h,requerimiento de stack,"Que: pom.xml (Java 17, Spring Boot 3.x, los 6 starters fijos: web, thymeleaf, data-jpa, security, postgresql runtime, test), clase principal, application.yml con placeholders de entorno, .gitignore y Maven Wrapper. Por que: Base compilable del proyecto sobre el stack fijo del requerimiento."
T-04 CI + clase trivial + JUnit,ci,Beta,1.5h,Act.2 #5,"Que: .github/workflows/ci.yml (JDK 17 Temurin, mvn -B test en push/PR) y util/Validador con ValidadorTest. Por que: Integracion continua verde desde el inicio como semilla de la suite de pruebas."
T-05 Documentacion de arquitectura,docs,Beta,1h,Act.2 #6,"Que: Carpeta /docs con diagramas de componentes y MVC y los ADR de las decisiones bloqueadas. Por que: Documenta la arquitectura aprobada para el repo academico publico."
T-06 Configuracion y secretos,backend,Beta,2h,RI-04 / secretos,"Que: Datasource con ${SUPABASE_DB_URL/USER/PASSWORD} + sslmode=require; youtube.api.key y youtube.channel.id; perfiles dev/prod; H2 para pruebas. Por que: Sin credenciales en el codigo (RI-04) y entorno de pruebas aislado."
T-07 Entidades JPA + repositorios,persistencia,Beta,3h,modelo de datos,"Que: Entidades SiteText, CachedPost (type RECENT/FEATURED/PRAYER + sort_order) y AdminUser con sus repositorios Spring Data. Por que: Modelo de persistencia del sitio en PostgreSQL/JPA (decision C)."
T-08 Sembrado idempotente,persistencia,Beta,2h,F4 / RA-01,"Que: CommandLineRunner que siembra las 2 filas por defecto de site_text (heroLema y heroPresentacion) y el usuario admin (BCrypt desde ADMIN_INITIAL_*) solo cuando las tablas estan vacias. Por que: Datos iniciales y admin listos sin credenciales en el codigo, de forma repetible."
T-09 Spring Security,seguridad,Beta,3h,RA-01 / RA-02 / RI-04,"Que: SecurityFilterChain (/admin/** autenticado, publico permitAll, redireccion a login, logout), UserDetailsService sobre AdminUser, BCryptPasswordEncoder, CSRF y forward-headers. Por que: Panel admin protegido y contrasenas con hash+sal (requerimientos de seguridad)."
T-10 SiteContentService,backend,Beta,2.5h,F1 / F4,"Que: Cargar los campos de texto editables (heroLema y heroPresentacion), exponer la whitelist de claves y el regex ytId que extrae el id de un enlace de YouTube. Por que: Logica de contenido editable del sitio (F1/F4)."
T-11 YouTubeService,integracion,Beta,3.5h,F2,"Que: RestClient a YouTube Data API v3 (channels -> playlist de subidas -> playlistItems) mapeado a CachedPost(RECENT). Por que: Agregacion automatica del contenido reciente de YouTube (F2)."
T-12 ContentCacheService,integracion,Beta,2.5h,F2 / F3,"Que: Refresco al arranque y @Scheduled diario; upsert/prune solo de RECENT; ante fallo conservar la cache existente. Por que: El sitio sobrevive caidas de la API sirviendo contenido cacheado (F3)."
T-13 Layout base + tokens de diseno,frontend,Beta,3h,diseno / H,"Que: Fuentes Google (Plus Jakarta Sans, Newsreader, Dancing Script), tokens :root verbatim, logo y fragmento reutilizable de 4 iconos sociales (incl. Facebook). Por que: Base visual fiel al prototipo (decision H)."
T-14 HomeController + escenas 0-4,frontend,Beta,5h,F1 / diseno / F4-viz,"Que: Render server-side: hero, grid de videos destacados curados, escena Acerca de mi, 7 chips, grid de oracion, dot-nav y espaciadores. Por que: Pagina publica scrollytelling fiel al diseno."
T-15 Scrollytelling JS (port vanilla),frontend,Beta,4h,diseno interacciones,"Que: Portar state/scroll handler/playCard a JS vanilla: cross-fade sticky, recomputeActive, dot-nav smooth-scroll, click-to-play youtube-nocookie (una vez), scroll/resize con rAF. Por que: Interaccion del prototipo sin SPA."
T-16 Footer del sitio,frontend,Beta,2h,F1 / diseno,"Que: Footer con logo, lema, los 4 iconos sociales y el aviso de derechos, que cierra la pagina tras la historia con scroll. Por que: Remate visual del sitio y acceso a las redes desde un solo punto. Nota: la seccion Acerca de mi aparte se retiro; su rotulo encabeza ahora la escena 2."
T-17 Pagina de login admin,admin,Beta,2h,RA-02 / decision E,"Que: Login con estilo del diseno, SIN caja de pista de credenciales, estado de error en ?error y enlace Volver al sitio. Por que: Acceso admin seguro sin exponer credenciales (decision E)."
T-18 Shell del dashboard admin,admin,Beta,3.5h,F4 / diseno,"Que: Barra superior (Ver sitio/Salir), banner de autoguardado y tarjetas Portada, Video destacado (select + URL + preview) y Acerca, precargadas desde la BD. Por que: Interfaz de edicion de contenido (F4)."
T-19 Endpoint de autoguardado + JS,admin,Beta,3h,F4 / RA-03 / decision D,"Que: POST /admin/content (auth + CSRF, whitelist de las claves de texto editables, validacion de longitud); fetch con debounce; meta CSRF; indicador 'guardado'. Por que: Autoguardado seguro del admin (decision D)."
